SPACECRAFT EVENT TIME,BR,BTHETA,BPHI,B-FIELD MAGNITUDE,RANGE,LATITUDE,EAST LONGITUDE,WEST LONGITUDE
1996-12-19T06:33:27.948,142.51,441.46,78.93,470.56,9.38,-0.23,213.14,146.86
1996-12-19T06:33:28.281,142.52,438.53,77.70,467.61,9.38,-0.23,213.14,146.86
1996-12-19T06:33:28.615,141.66,441.71,77.25,470.26,9.38,-0.23,213.13,146.87
1996-12-19T06:33:28.948,143.32,439.51,79.17,469.02,9.38,-0.23,213.13,146.87
1996-12-19T06:33:29.281,142.24,440.12,71.34,468.00,9.38,-0.23,213.13,146.87
1996-12-19T06:33:29.615,141.01,439.52,72.56,467.26,9.38,-0.23,213.13,146.87
1996-12-19T06:33:29.948,141.57,441.12,72.01,468.84,9.38,-0.23,213.12,146.88
1996-12-19T06:33:30.281,140.13,440.89,74.19,468.54,9.38,-0.23,213.12,146.88
1996-12-19T06:33:30.615,142.51,439.69,74.89,468.24,9.38,-0.23,213.12,146.88
1996-12-19T06:33:30.948,141.23,441.95,74.06,469.84,9.38,-0.23,213.11,146.89
1996-12-19T06:33:31.281,140.17,438.23,74.16,466.04,9.38,-0.23,213.11,146.89
1996-12-19T06:33:31.615,142.13,439.99,72.40,468.01,9.38,-0.23,213.11,146.89
1996-12-19T06:33:31.948,142.63,438.18,74.41,466.77,9.38,-0.23,213.11,146.89
1996-12-19T06:33:32.281,144.45,436.61,74.34,465.85,9.38,-0.23,213.10,146.90
1996-12-19T06:33:32.615,144.19,437.36,72.63,466.20,9.38,-0.23,213.10,146.90
1996-12-19T06:33:32.948,146.41,436.38,71.57,465.82,9.38,-0.23,213.10,146.90
1996-12-19T06:33:33.281,144.68,437.12,70.57,465.81,9.38,-0.23,213.09,146.91
1996-12-19T06:33:33.615,144.05,438.98,71.68,467.54,9.38,-0.23,213.09,146.91
1996-12-19T06:33:33.948,145.26,438.25,74.83,467.72,9.38,-0.23,213.09,146.91
1996-12-19T06:33:34.281,142.50,439.01,71.97,467.13,9.38,-0.23,213.09,146.91
1996-12-19T06:33:34.615,145.61,439.30,70.00,468.06,9.38,-0.23,213.08,146.92
1996-12-19T06:33:34.948,144.77,437.06,72.22,466.05,9.38,-0.23,213.08,146.92
1996-12-19T06:33:35.281,143.69,439.52,71.94,467.98,9.38,-0.23,213.08,146.92
1996-12-19T06:33:35.615,144.43,438.88,69.23,467.19,9.38,-0.23,213.07,146.93
1996-12-19T06:33:35.948,144.83,436.77,71.01,465.60,9.38,-0.23,213.07,146.93
1996-12-19T06:33:36.281,144.10,436.46,72.12,465.25,9.38,-0.23,213.07,146.93
1996-12-19T06:33:36.615,145.77,440.57,69.15,469.19,9.38,-0.23,213.07,146.93
1996-12-19T06:33:36.948,142.12,438.88,73.96,467.21,9.38,-0.23,213.06,146.94
1996-12-19T06:33:37.281,146.04,438.77,70.46,467.77,9.38,-0.23,213.06,146.94
1996-12-19T06:33:37.615,141.45,438.26,71.30,466.01,9.38,-0.23,213.06,146.94
1996-12-19T06:33:37.948,142.22,435.18,71.69,463.41,9.38,-0.23,213.05,146.95
1996-12-19T06:33:38.281,145.40,436.49,73.16,465.85,9.38,-0.23,213.05,146.95
1996-12-19T06:33:38.615,145.72,438.33,71.30,467.39,9.38,-0.23,213.05,146.95
1996-12-19T06:33:38.948,145.25,440.43,69.52,468.94,9.38,-0.23,213.05,146.95
1996-12-19T06:33:39.281,146.50,435.82,68.99,464.94,9.38,-0.23,213.04,146.96
1996-12-19T06:33:39.615,146.26,436.91,73.44,466.56,9.38,-0.23,213.04,146.96
1996-12-19T06:33:39.948,146.28,438.74,71.04,467.91,9.38,-0.23,213.04,146.96
1996-12-19T06:33:40.281,142.76,437.02,73.52,465.59,9.38,-0.23,213.04,146.96
1996-12-19T06:33:40.615,143.39,438.28,73.39,466.95,9.38,-0.23,213.03,146.97
1996-12-19T06:33:40.948,145.49,438.75,71.85,467.79,9.38,-0.23,213.03,146.97
1996-12-19T06:33:41.281,144.93,438.48,74.23,467.74,9.38,-0.23,213.03,146.97
1996-12-19T06:33:41.615,145.89,439.41,71.02,468.41,9.38,-0.23,213.02,146.98
1996-12-19T06:33:41.948,143.07,438.75,75.60,467.64,9.38,-0.23,213.02,146.98
1996-12-19T06:33:42.281,146.20,438.79,73.53,468.31,9.38,-0.23,213.02,146.98
1996-12-19T06:33:42.615,143.28,440.64,72.32,468.96,9.38,-0.23,213.02,146.98
1996-12-19T06:33:42.948,144.04,438.81,74.44,467.81,9.38,-0.23,213.01,146.99
1996-12-19T06:33:43.281,144.45,440.43,76.06,469.71,9.38,-0.23,213.01,146.99
1996-12-19T06:33:43.615,142.07,439.01,76.26,467.68,9.38,-0.23,213.01,146.99
1996-12-19T06:33:43.948,144.82,439.12,71.11,467.82,9.38,-0.23,213.00,147.00
1996-12-19T06:33:44.281,143.65,438.73,73.99,467.54,9.38,-0.23,213.00,147.00
1996-12-19T06:33:44.615,143.91,439.14,71.61,467.63,9.38,-0.23,213.00,147.00
1996-12-19T06:33:44.948,141.19,437.37,72.18,465.23,9.38,-0.23,213.00,147.00
1996-12-19T06:33:45.281,143.32,438.65,75.10,467.54,9.38,-0.23,212.99,147.01
1996-12-19T06:33:45.615,142.67,437.04,74.18,465.68,9.38,-0.23,212.99,147.01
1996-12-19T06:33:45.948,144.08,441.25,72.74,469.84,9.38,-0.23,212.99,147.01
1996-12-19T06:33:46.281,142.59,440.79,75.71,469.43,9.38,-0.23,212.98,147.02
1996-12-19T06:33:46.615,143.08,442.78,75.50,471.41,9.38,-0.23,212.98,147.02
1996-12-19T06:33:46.948,144.33,440.74,72.69,469.43,9.38,-0.23,212.98,147.02
1996-12-19T06:33:47.281,143.12,437.31,74.74,466.16,9.38,-0.23,212.98,147.02
1996-12-19T06:33:47.615,141.90,438.53,77.23,467.34,9.38,-0.23,212.97,147.03
1996-12-19T06:33:47.948,143.97,441.03,74.71,469.91,9.38,-0.23,212.97,147.03
1996-12-19T06:33:48.281,143.38,439.99,73.72,468.59,9.38,-0.23,212.97,147.03
1996-12-19T06:34:57.281,141.71,428.70,72.18,457.25,9.38,-0.23,212.38,147.62
1996-12-19T06:34:57.615,143.14,427.34,70.22,456.11,9.38,-0.23,212.38,147.62
1996-12-19T06:34:57.948,140.00,429.56,70.47,457.26,9.38,-0.23,212.37,147.63
1996-12-19T06:34:58.281,142.46,425.99,71.48,454.83,9.38,-0.23,212.37,147.63
1996-12-19T06:34:58.615,141.31,427.72,72.21,456.21,9.38,-0.23,212.37,147.63
1996-12-19T06:34:58.948,140.78,428.23,73.39,456.71,9.38,-0.23,212.37,147.63
1996-12-19T06:34:59.281,140.63,429.08,75.90,457.88,9.38,-0.23,212.36,147.64
1996-12-19T06:34:59.615,140.77,429.09,75.64,457.88,9.38,-0.23,212.36,147.64
1996-12-19T06:34:59.948,145.44,429.69,73.56,459.56,9.38,-0.23,212.36,147.64
1996-12-19T06:35:00.281,143.28,429.04,74.06,458.36,9.38,-0.23,212.35,147.65
1996-12-19T06:35:00.615,143.87,428.27,75.39,458.04,9.38,-0.23,212.35,147.65
1996-12-19T06:35:00.948,144.16,427.76,73.56,457.36,9.38,-0.23,212.35,147.65
1996-12-19T06:35:01.281,143.86,431.47,75.23,461.00,9.38,-0.23,212.35,147.65
1996-12-19T06:35:01.615,143.68,430.36,78.07,460.38,9.38,-0.23,212.34,147.66
1996-12-19T06:35:01.948,145.03,428.59,74.50,458.56,9.38,-0.23,212.34,147.66
1996-12-19T06:35:02.281,144.46,427.95,76.02,458.03,9.38,-0.23,212.34,147.66
1996-12-19T06:35:02.615,145.52,430.19,75.84,460.43,9.38,-0.23,212.33,147.67
1996-12-19T06:35:02.948,145.49,431.04,74.23,460.95,9.38,-0.23,212.33,147.67
1996-12-19T06:35:03.281,144.37,429.51,75.26,459.34,9.38,-0.23,212.33,147.67
1996-12-19T06:35:03.615,141.95,429.35,76.79,458.68,9.38,-0.23,212.33,147.67
1996-12-19T06:35:03.948,144.36,430.21,73.19,459.65,9.38,-0.23,212.32,147.68
1996-12-19T06:35:04.281,146.26,427.73,73.75,458.02,9.38,-0.23,212.32,147.68
1996-12-19T06:35:04.615,144.26,429.98,72.72,459.33,9.38,-0.23,212.32,147.68
1996-12-19T06:35:04.948,142.99,430.66,71.55,459.39,9.38,-0.23,212.31,147.69
1996-12-19T06:35:05.281,143.25,429.55,72.47,458.57,9.38,-0.23,212.31,147.69
1996-12-19T06:35:05.615,142.43,430.63,73.46,459.49,9.38,-0.23,212.31,147.69
1996-12-19T06:35:05.948,142.16,426.18,74.48,455.40,9.38,-0.23,212.31,147.69
1996-12-19T06:35:06.281,142.44,428.51,73.13,457.45,9.38,-0.23,212.30,147.70
1996-12-19T06:35:06.615,140.26,428.30,72.82,456.53,9.38,-0.23,212.30,147.70
1996-12-19T06:35:06.948,141.83,429.46,70.57,457.75,9.38,-0.23,212.30,147.70
1996-12-19T06:35:07.281,142.16,430.25,72.88,458.95,9.38,-0.23,212.29,147.71
1996-12-19T06:35:07.615,144.12,427.53,72.43,456.95,9.38,-0.23,212.29,147.71
1996-12-19T06:35:07.948,143.35,428.21,70.83,457.09,9.38,-0.23,212.29,147.71
1996-12-19T06:35:08.281,141.52,430.90,67.89,458.60,9.38,-0.23,212.29,147.71
1996-12-19T06:35:08.615,141.84,426.69,69.35,454.96,9.38,-0.23,212.28,147.72
1996-12-19T06:35:08.948,141.88,430.18,73.03,458.82,9.38,-0.23,212.28,147.72
1996-12-19T06:35:09.281,139.36,430.59,70.23,458.00,9.38,-0.23,212.28,147.72
1996-12-19T06:35:09.615,141.17,431.17,69.63,459.00,9.38,-0.23,212.28,147.72
1996-12-19T06:35:09.948,138.92,430.63,70.70,457.97,9.38,-0.23,212.27,147.73
1996-12-19T06:35:10.281,137.64,430.95,70.34,457.84,9.38,-0.23,212.27,147.73
1996-12-19T06:35:10.615,139.71,431.88,67.94,458.97,9.38,-0.23,212.27,147.73
1996-12-19T06:35:10.948,138.44,430.69,71.04,457.94,9.38,-0.23,212.26,147.74
1996-12-19T06:35:11.281,137.73,430.17,70.18,457.10,9.38,-0.23,212.26,147.74
1996-12-19T06:35:11.615,139.03,430.40,69.19,457.56,9.38,-0.23,212.26,147.74
1996-12-19T06:35:11.948,140.39,430.74,67.78,458.08,9.38,-0.23,212.26,147.74
1996-12-19T06:35:12.281,141.35,428.54,66.40,456.11,9.38,-0.23,212.25,147.75
1996-12-19T06:35:12.615,140.17,429.07,66.35,456.23,9.38,-0.23,212.25,147.75
1996-12-19T06:35:12.948,139.68,428.06,65.03,454.94,9.38,-0.23,212.25,147.75
1996-12-19T06:35:13.281,142.89,428.14,66.56,456.24,9.38,-0.23,212.24,147.76
1996-12-19T06:35:13.615,141.51,429.33,70.60,457.53,9.38,-0.23,212.24,147.76
1996-12-19T06:35:13.948,141.18,428.20,68.48,456.04,9.38,-0.23,212.24,147.76
1996-12-19T06:35:14.281,142.20,429.47,67.30,457.38,9.38,-0.23,212.24,147.76
1996-12-19T06:35:14.615,143.10,427.95,66.46,456.11,9.38,-0.23,212.23,147.77
1996-12-19T06:35:14.948,142.77,428.35,66.14,456.34,9.38,-0.23,212.23,147.77
1996-12-19T06:35:15.281,141.01,428.52,65.34,455.83,9.38,-0.23,212.23,147.77
1996-12-19T06:35:15.615,144.44,426.81,66.97,455.54,9.38,-0.23,212.22,147.78
1996-12-19T06:35:15.948,144.16,430.45,66.94,458.86,9.38,-0.23,212.22,147.78
1996-12-19T06:35:16.281,139.62,429.14,67.02,456.23,9.38,-0.23,212.22,147.78
1996-12-19T06:35:16.615,142.49,428.17,67.92,456.34,9.38,-0.23,212.22,147.78
1996-12-19T06:35:16.948,141.71,430.15,68.71,458.08,9.38,-0.23,212.21,147.79
1996-12-19T06:35:17.281,141.91,429.10,70.14,457.37,9.38,-0.23,212.21,147.79
1996-12-19T06:35:17.615,141.85,430.89,71.66,459.26,9.38,-0.23,212.21,147.79
1996-12-19T06:35:17.948,143.44,429.31,62.04,456.87,9.38,-0.23,212.20,147.80
1996-12-19T06:35:18.281,142.74,428.55,66.59,456.57,9.38,-0.23,212.20,147.80
1996-12-19T06:35:18.615,140.68,431.89,68.25,459.32,9.38,-0.23,212.20,147.80
1996-12-19T06:35:18.948,141.54,429.79,68.38,457.63,9.38,-0.23,212.20,147.80
1996-12-19T06:35:19.281,141.03,429.12,66.69,456.59,9.38,-0.23,212.19,147.81
1996-12-19T06:35:19.615,141.50,431.00,68.96,458.84,9.38,-0.23,212.19,147.81
1996-12-19T06:35:19.948,140.42,430.01,68.86,457.57,9.38,-0.23,212.19,147.81
1996-12-19T06:35:20.281,141.36,432.62,66.72,460.00,9.38,-0.23,212.18,147.82
1996-12-19T06:35:20.615,140.76,429.75,69.45,457.52,9.38,-0.23,212.18,147.82
1996-12-19T06:35:20.948,144.34,431.22,68.00,459.79,9.38,-0.23,212.18,147.82
1996-12-19T06:35:21.281,140.41,430.62,67.05,457.87,9.38,-0.23,212.18,147.82
1996-12-19T06:35:21.615,140.52,431.85,69.25,459.38,9.38,-0.23,212.17,147.83
1996-12-19T06:35:21.948,139.74,430.57,71.55,458.30,9.38,-0.23,212.17,147.83
1996-12-19T06:35:22.281,139.63,430.48,67.64,457.59,9.38,-0.23,212.17,147.83
1996-12-19T06:35:22.615,141.84,428.79,66.74,456.55,9.38,-0.23,212.16,147.84
1996-12-19T06:35:22.948,140.53,430.74,67.39,458.07,9.38,-0.23,212.16,147.84
1996-12-19T06:35:23.281,142.12,429.43,66.90,457.25,9.38,-0.23,212.16,147.84
1996-12-19T06:35:23.615,142.30,430.55,70.05,458.83,9.38,-0.23,212.16,147.84
1996-12-19T06:35:23.948,141.80,428.90,72.09,457.45,9.38,-0.23,212.15,147.85
1996-12-19T06:35:24.281,140.62,429.32,71.17,457.34,9.38,-0.23,212.15,147.85
1996-12-19T06:35:24.615,139.16,430.25,67.85,457.26,9.38,-0.23,212.15,147.85
1996-12-19T06:35:24.948,138.43,428.34,69.44,455.48,9.38,-0.23,212.14,147.86
1996-12-19T06:35:25.281,140.51,429.11,68.96,456.77,9.38,-0.23,212.14,147.86
1996-12-19T06:35:25.615,139.18,428.33,71.41,456.00,9.38,-0.23,212.14,147.86
1996-12-19T06:35:25.948,138.08,428.49,70.05,455.61,9.38,-0.23,212.14,147.86
1996-12-19T06:35:26.281,141.52,428.74,70.95,457.03,9.38,-0.23,212.13,147.87
1996-12-19T06:35:26.615,139.81,431.04,70.57,458.61,9.38,-0.23,212.13,147.87
1996-12-19T06:35:26.948,138.31,430.15,69.78,457.19,9.38,-0.23,212.13,147.87
1996-12-19T06:35:27.281,137.64,429.21,71.48,456.37,9.38,-0.23,212.12,147.88
1996-12-19T06:35:27.615,139.17,430.05,73.48,457.94,9.38,-0.23,212.12,147.88
1996-12-19T06:35:27.948,139.77,428.70,71.88,456.60,9.38,-0.23,212.12,147.88
1996-12-19T06:35:28.281,141.04,430.76,70.39,458.69,9.38,-0.23,212.12,147.88
1996-12-19T06:35:28.615,139.76,430.20,67.62,457.36,9.38,-0.23,212.11,147.89
1996-12-19T06:35:28.948,134.65,429.50,71.27,455.72,9.38,-0.23,212.11,147.89
1996-12-19T06:35:29.281,135.55,430.79,69.81,456.97,9.38,-0.23,212.11,147.89
1996-12-19T06:35:29.615,133.61,429.15,71.80,455.16,9.38,-0.23,212.10,147.90
1996-12-19T06:35:29.948,136.01,429.82,72.52,456.62,9.38,-0.23,212.10,147.90
1996-12-19T06:35:30.281,137.72,430.86,70.05,457.73,9.38,-0.23,212.10,147.90
1996-12-19T06:35:30.615,141.55,428.04,67.90,455.93,9.38,-0.23,212.10,147.90
1996-12-19T06:35:30.948,139.18,427.19,68.95,454.55,9.38,-0.23,212.09,147.91
1996-12-19T06:35:31.281,139.64,427.08,70.05,454.76,9.38,-0.23,212.09,147.91
1996-12-19T06:35:31.615,141.02,427.69,68.38,455.50,9.38,-0.23,212.09,147.91
1996-12-19T06:35:31.948,139.31,427.50,68.95,454.89,9.38,-0.23,212.09,147.91
1996-12-19T06:35:32.281,141.63,424.68,72.45,453.49,9.38,-0.23,212.08,147.92
1996-12-19T06:35:32.615,142.56,426.42,70.77,455.15,9.38,-0.23,212.08,147.92
1996-12-19T06:35:32.948,143.46,424.41,68.90,453.27,9.38,-0.23,212.08,147.92
1996-12-19T06:35:33.281,142.60,425.38,67.94,453.76,9.38,-0.23,212.07,147.93
1996-12-19T06:35:33.615,141.37,426.20,66.14,453.88,9.38,-0.23,212.07,147.93
1996-12-19T06:35:33.948,142.84,426.20,66.18,454.34,9.38,-0.23,212.07,147.93
1996-12-19T06:35:34.281,143.39,426.11,65.85,454.38,9.38,-0.23,212.07,147.93
1996-12-19T06:35:34.615,142.62,425.88,65.57,453.89,9.38,-0.23,212.06,147.94
1996-12-19T06:35:34.948,143.34,425.58,66.92,454.03,9.38,-0.23,212.06,147.94
1996-12-19T06:35:35.281,142.92,426.50,67.77,454.89,9.38,-0.23,212.06,147.94
1996-12-19T06:35:35.615,140.18,426.11,67.97,453.69,9.38,-0.23,212.05,147.95
1996-12-19T06:35:35.948,143.12,427.85,69.59,456.49,9.38,-0.23,212.05,147.95
1996-12-19T06:35:36.281,140.50,426.32,69.89,454.28,9.38,-0.23,212.05,147.95
1996-12-19T06:35:36.615,141.49,427.96,68.54,455.93,9.38,-0.23,212.05,147.95
1996-12-19T06:35:36.948,140.05,426.71,63.36,453.55,9.38,-0.23,212.04,147.96
1996-12-19T06:35:37.281,136.67,427.40,63.51,453.19,9.38,-0.23,212.04,147.96
1996-12-19T06:35:37.615,138.24,431.46,62.38,457.34,9.38,-0.23,212.04,147.96
1996-12-19T06:35:37.948,136.60,433.80,62.77,459.11,9.38,-0.23,212.03,147.97
1996-12-19T06:35:38.281,139.06,427.69,66.17,454.57,9.38,-0.23,212.03,147.97
1996-12-19T06:35:38.615,139.29,430.07,62.64,456.38,9.38,-0.23,212.03,147.97
1996-12-19T06:35:38.948,137.78,430.18,62.92,456.07,9.38,-0.23,212.03,147.97
1996-12-19T06:35:39.281,139.21,430.94,64.56,457.45,9.38,-0.23,212.02,147.98
1996-12-19T06:35:39.615,137.66,432.63,62.28,458.26,9.38,-0.23,212.02,147.98
1996-12-19T06:35:39.948,141.08,432.08,63.95,459.00,9.38,-0.23,212.02,147.98
1996-12-19T06:35:40.281,142.00,431.92,66.96,459.56,9.38,-0.23,212.01,147.99
1996-12-19T06:35:40.615,142.73,431.00,69.30,459.28,9.38,-0.23,212.01,147.99
1996-12-19T06:35:40.948,143.40,427.85,69.87,456.62,9.38,-0.23,212.01,147.99
1996-12-19T06:35:41.281,146.72,429.94,68.49,459.42,9.38,-0.23,212.01,147.99
1996-12-19T06:35:41.615,143.71,430.70,67.29,459.00,9.38,-0.23,212.00,148.00
1996-12-19T06:35:41.948,146.88,429.34,67.97,458.83,9.38,-0.23,212.00,148.00
1996-12-19T06:35:42.281,144.16,432.73,70.70,461.55,9.38,-0.23,212.00,148.00
1996-12-19T06:35:42.615,143.07,431.28,69.77,459.72,9.38,-0.23,211.99,148.01
1996-12-19T06:35:42.948,146.81,432.05,70.40,461.72,9.38,-0.23,211.99,148.01
1996-12-19T06:35:43.281,144.37,431.86,69.12,460.57,9.38,-0.23,211.99,148.01
1996-12-19T06:35:43.615,146.27,433.45,70.28,462.83,9.38,-0.23,211.99,148.01
1996-12-19T06:35:43.948,151.44,429.98,76.25,462.20,9.38,-0.23,211.98,148.02
1996-12-19T06:35:44.281,152.93,427.20,75.83,460.04,9.38,-0.23,211.98,148.02
1996-12-19T06:35:44.615,153.14,429.66,75.64,462.37,9.38,-0.23,211.98,148.02
1996-12-19T06:35:44.948,152.98,430.40,75.47,462.97,9.39,-0.23,211.97,148.03
1996-12-19T06:35:45.281,153.28,432.40,75.19,464.88,9.39,-0.23,211.97,148.03
1996-12-19T06:35:45.615,151.65,430.67,71.88,462.22,9.39,-0.23,211.97,148.03
1996-12-19T06:35:45.948,152.46,433.46,72.21,465.13,9.39,-0.23,211.97,148.03
1996-12-19T06:35:46.281,151.30,430.81,73.61,462.50,9.39,-0.23,211.96,148.04
1996-12-19T06:35:46.615,152.70,430.99,75.98,463.51,9.39,-0.23,211.96,148.04
1996-12-19T06:35:46.948,157.72,429.61,75.62,463.85,9.39,-0.23,211.96,148.04
1996-12-19T06:35:47.281,151.80,433.75,72.35,465.21,9.39,-0.23,211.95,148.05
1996-12-19T06:35:47.615,149.55,431.50,73.90,462.62,9.39,-0.23,211.95,148.05
1996-12-19T06:35:47.948,149.67,432.55,73.88,463.64,9.39,-0.23,211.95,148.05
1996-12-19T06:35:48.281,147.28,435.20,70.81,464.87,9.39,-0.23,211.95,148.05
1996-12-19T06:35:48.615,148.37,435.11,72.24,465.35,9.39,-0.23,211.94,148.06
1996-12-19T06:35:48.948,148.94,434.63,74.08,465.38,9.39,-0.23,211.94,148.06
1996-12-19T06:35:49.281,150.46,434.13,71.50,464.99,9.39,-0.23,211.94,148.06
1996-12-19T06:35:49.615,151.09,433.46,73.93,464.96,9.39,-0.23,211.93,148.07
1996-12-19T06:35:49.948,153.84,433.06,74.76,465.62,9.39,-0.23,211.93,148.07
1996-12-19T06:35:50.281,152.44,433.50,76.04,465.77,9.39,-0.23,211.93,148.07
1996-12-19T06:35:50.615,152.11,432.46,75.59,464.62,9.39,-0.23,211.93,148.07
1996-12-19T06:35:50.948,150.79,432.56,75.19,464.22,9.39,-0.23,211.92,148.08
1996-12-19T06:35:51.281,154.35,432.30,74.26,465.00,9.39,-0.23,211.92,148.08
1996-12-19T06:35:51.615,153.52,435.01,72.27,466.93,9.39,-0.23,211.92,148.08
1996-12-19T06:35:51.948,152.17,435.10,70.48,466.30,9.39,-0.23,211.91,148.09
1996-12-19T06:35:52.281,150.39,433.36,74.55,464.73,9.39,-0.23,211.91,148.09
1996-12-19T06:35:52.615,149.41,435.72,72.25,466.25,9.39,-0.23,211.91,148.09
1996-12-19T06:35:52.948,151.96,436.15,70.96,467.29,9.39,-0.23,211.91,148.09
1996-12-19T06:35:53.281,150.53,436.30,74.37,467.49,9.39,-0.23,211.90,148.10
1996-12-19T06:35:53.615,150.73,435.46,68.69,465.90,9.39,-0.23,211.90,148.10
1996-12-19T06:35:53.948,149.86,437.86,74.26,468.72,9.39,-0.23,211.90,148.10
1996-12-19T06:35:54.281,150.64,435.73,70.94,466.46,9.39,-0.23,211.89,148.11
1996-12-19T06:35:54.615,149.91,434.75,71.17,465.34,9.39,-0.23,211.89,148.11
1996-12-19T06:35:54.948,149.77,433.75,70.24,464.22,9.39,-0.23,211.89,148.11
1996-12-19T06:35:55.281,149.21,431.15,71.63,461.83,9.39,-0.23,211.89,148.11
1996-12-19T06:35:55.615,150.51,433.56,74.01,464.87,9.39,-0.23,211.88,148.12
1996-12-19T06:35:55.948,149.91,434.52,75.23,465.77,9.39,-0.23,211.88,148.12
1996-12-19T06:35:56.281,150.05,434.15,70.69,464.76,9.39,-0.23,211.88,148.12
1996-12-19T06:35:56.615,149.78,436.48,69.25,466.63,9.39,-0.23,211.88,148.12
1996-12-19T06:35:56.948,150.45,436.03,72.49,466.92,9.39,-0.23,211.87,148.13
1996-12-19T06:35:57.281,153.45,434.90,72.35,466.82,9.39,-0.23,211.87,148.13
1996-12-19T06:35:57.615,152.10,435.55,71.64,466.87,9.39,-0.23,211.87,148.13
1996-12-19T06:35:57.948,151.95,430.47,75.06,462.63,9.39,-0.23,211.86,148.14
1996-12-19T06:35:58.281,151.91,430.40,72.17,462.10,9.39,-0.23,211.86,148.14
1996-12-19T06:35:58.615,148.47,434.11,71.47,464.33,9.39,-0.23,211.86,148.14
1996-12-19T06:35:58.948,147.62,436.12,72.52,466.10,9.39,-0.23,211.86,148.14
1996-12-19T06:35:59.281,148.91,434.57,73.57,465.23,9.39,-0.23,211.85,148.15
1996-12-19T06:35:59.615,148.32,435.58,71.42,465.65,9.39,-0.23,211.85,148.15
1996-12-19T06:35:59.948,147.71,435.43,69.63,465.05,9.39,-0.23,211.85,148.15
1996-12-19T06:36:00.281,146.24,434.36,71.09,463.80,9.39,-0.23,211.84,148.16
1996-12-19T06:36:00.615,147.89,431.35,68.45,461.11,9.39,-0.23,211.84,148.16
1996-12-19T06:36:00.948,148.20,435.48,70.64,465.40,9.39,-0.23,211.84,148.16
1996-12-19T06:36:01.281,149.27,434.17,71.04,464.58,9.39,-0.23,211.84,148.16
1996-12-19T06:36:01.615,146.02,431.24,71.52,460.88,9.39,-0.23,211.83,148.17
1996-12-19T06:36:01.948,145.71,434.01,69.12,463.00,9.39,-0.23,211.83,148.17
1996-12-19T06:36:02.281,145.85,435.73,70.66,464.90,9.39,-0.23,211.83,148.17
1996-12-19T06:36:02.615,146.57,433.98,71.83,463.66,9.39,-0.23,211.82,148.18
1996-12-19T06:36:02.948,147.37,432.50,73.24,462.75,9.39,-0.23,211.82,148.18
1996-12-19T06:36:03.281,148.89,433.88,70.00,464.02,9.39,-0.23,211.82,148.18
1996-12-19T06:36:03.615,148.06,433.37,69.42,463.20,9.39,-0.23,211.82,148.18
1996-12-19T06:36:03.948,146.66,433.88,71.58,463.56,9.39,-0.23,211.81,148.19
1996-12-19T06:36:04.281,144.92,436.04,72.45,465.16,9.39,-0.23,211.81,148.19
1996-12-19T06:36:04.615,145.27,434.27,72.19,463.58,9.39,-0.23,211.81,148.19
1996-12-19T06:36:04.948,145.29,436.38,69.79,465.20,9.39,-0.23,211.80,148.20
1996-12-19T06:36:05.281,148.27,434.27,68.48,463.97,9.39,-0.23,211.80,148.20
1996-12-19T06:36:05.615,148.78,433.67,66.50,463.28,9.39,-0.23,211.80,148.20
1996-12-19T06:36:05.948,147.69,436.54,69.36,466.03,9.39,-0.23,211.80,148.20
1996-12-19T06:36:06.281,146.53,433.81,71.22,463.40,9.39,-0.23,211.79,148.21
1996-12-19T06:36:06.615,146.42,434.45,70.23,463.80,9.39,-0.23,211.79,148.21
1996-12-19T06:36:06.948,145.98,434.09,70.56,463.38,9.39,-0.23,211.79,148.21
1996-12-19T06:36:07.281,146.79,434.05,71.02,463.67,9.39,-0.23,211.78,148.22
1996-12-19T06:36:07.615,146.65,436.09,68.77,465.20,9.39,-0.23,211.78,148.22
1996-12-19T06:36:07.948,146.47,434.90,67.42,463.83,9.39,-0.23,211.78,148.22
1996-12-19T06:36:08.281,148.34,434.76,71.02,464.83,9.39,-0.23,211.78,148.22
1996-12-19T06:36:08.615,147.78,435.17,68.66,464.67,9.39,-0.23,211.77,148.23
1996-12-19T06:36:08.948,148.50,434.36,71.70,464.60,9.39,-0.23,211.77,148.23
1996-12-19T06:36:09.281,147.51,435.33,67.44,464.56,9.39,-0.23,211.77,148.23
1996-12-19T06:36:09.615,145.16,433.82,68.71,462.59,9.39,-0.23,211.76,148.24
1996-12-19T06:36:09.948,145.83,433.18,66.59,461.89,9.39,-0.23,211.76,148.24
1996-12-19T06:36:10.281,148.37,433.68,68.02,463.38,9.39,-0.23,211.76,148.24
1996-12-19T06:36:10.615,146.60,433.31,71.02,462.91,9.39,-0.23,211.76,148.24
1996-12-19T06:36:10.948,150.39,432.40,69.62,463.07,9.39,-0.23,211.75,148.25
1996-12-19T06:36:11.281,148.45,432.54,67.98,462.33,9.39,-0.23,211.75,148.25
1996-12-19T06:36:11.615,147.01,431.81,66.73,461.00,9.39,-0.23,211.75,148.25
1996-12-19T06:36:11.948,146.27,433.69,66.31,462.47,9.39,-0.23,211.74,148.26
1996-12-19T06:36:12.281,146.71,434.45,65.93,463.27,9.39,-0.23,211.74,148.26
1996-12-19T06:36:12.615,147.94,433.84,65.55,463.03,9.39,-0.23,211.74,148.26
1996-12-19T06:36:12.948,148.74,434.64,72.56,465.08,9.39,-0.23,211.74,148.26
